Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2015,252,Aaron Hicks,25,MIN,AL,1.4,97,390,352,48,90,11,3,11,33,13,3,34,66,0.256,0.323,0.398,0.721,98.0,0.323,96.0,140,6,2,0,2,2,89/7H,,hicksaa01
2016,258,Aaron Hicks,26,NYY,AL,-0.2,123,361,327,32,71,13,1,8,31,3,4,30,68,0.217,0.281,0.336,0.617,65.0,0.275,61.0,110,7,0,1,3,1,*978H/D,,hicksaa01
2017,283,Aaron Hicks,27,NYY,AL,3.9,88,361,301,54,80,18,0,15,52,10,5,51,67,0.266,0.372,0.475,0.847,122.0,0.361,119.0,143,8,3,1,5,0,879H,,hicksaa01
2018,102,Aaron Hicks,28,NYY,AL,4.4,137,581,480,90,119,18,3,27,79,11,2,90,111,0.248,0.366,0.467,0.833,127.0,0.366,128.0,224,1,3,2,6,1,*8/HD,MVP-22,hicksaa01
2019,361,Aaron Hicks,29,NYY,AL,1.3,59,255,221,41,52,10,0,12,36,1,2,31,72,0.235,0.325,0.443,0.769,103.0,0.333,107.0,98,2,0,0,3,0,8/DH,,hicksaa01
2021,546,Aaron Hicks,31,NYY,AL,-0.3,32,126,108,13,21,3,0,4,14,0,0,14,30,0.194,0.294,0.333,0.627,73.0,0.277,70.0,36,3,2,0,2,0,8/H,,hicksaa01
2022,197,Aaron Hicks,32,NYY,AL,1.5,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,85.0,0.304,90.0,120,10,4,1,2,3,*87H/D,,hicksaa01
2023,322,Aaron Hicks,33,2TM,AL,0.4,93,312,269,44,68,9,1,8,36,6,0,42,69,0.253,0.353,0.383,0.735,106.0,0.328,106.0,103,3,0,0,1,1,879H/D,,hicksaa01
2024,508,Aaron Hicks,34,LAA,AL,-0.7,18,63,57,6,8,0,0,1,5,0,0,6,23,140.0,222.0,193.0,415.0,20.0,196.0,15.0,11,1,0,0,0,0,/9DH781,,hicksaa01
2016,521,Aaron Judge,24,NYY,AL,-0.3,27,95,84,10,15,2,0,4,10,0,1,9,42,0.179,0.263,0.345,0.608,61.0,0.272,60.0,29,2,1,0,1,0,9/H,,judgeaa01
2017,18,Aaron Judge,25,NYY,AL,8.0,155,678,542,128,154,24,3,52,114,9,4,127,208,0.284,0.422,0.627,1.049,171.0,0.435,172.0,340,15,5,0,4,11,*9D/H,ASMVP-2ROY-1SS,judgeaa01
2018,171,Aaron Judge,26,NYY,AL,5.9,112,498,413,77,115,22,0,27,67,6,3,76,152,0.278,0.392,0.528,0.919,150.0,0.396,152.0,218,10,4,0,5,3,9D/H8,ASMVP-12,judgeaa01
2019,188,Aaron Judge,27,NYY,AL,5.6,102,447,378,75,103,18,1,27,55,3,2,64,141,0.272,0.381,0.54,0.921,143.0,0.393,148.0,204,11,3,0,1,4,9D/H,,judgeaa01
2021,51,Aaron Judge,29,NYY,AL,6.1,148,633,550,89,158,24,0,39,98,6,1,75,158,0.287,0.373,0.544,0.916,149.0,0.392,150.0,299,16,3,0,5,2,*98D/H,ASMVP-4SS,judgeaa01
2022,8,Aaron Judge,30,NYY,AL,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210.0,0.463,208.0,391,14,6,0,5,19,*89D/H,ASMVP-1SS,judgeaa01
2023,183,Aaron Judge,31,NYY,AL,4.5,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175.0,0.421,172.0,225,5,0,0,3,9,9D8/H,ASMVP-15,judgeaa01
2024,7,Aaron Judge,32,NYY,AL,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,322.0,458.0,701.0,1.159,223.0,484.0,223.0,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01
2024,457,Aaron Schunk,26,COL,NL,0.2,39,98,94,14,22,3,0,2,7,0,1,4,31,234.0,265.0,330.0,595.0,60.0,260.0,55.0,31,0,0,0,0,1,45/H6D,,schunaa01
2019,551,Abraham Toro,22,HOU,AL,0.3,25,89,78,13,17,3,2,2,9,1,1,9,19,0.218,0.303,0.385,0.688,79.0,0.3,79.0,30,2,1,0,1,0,5/H3,,toroab01
2021,250,Abraham Toro,24,2TM,AL,1.6,95,375,335,45,80,12,0,11,46,6,3,31,54,0.239,0.315,0.373,0.688,92.0,0.311,97.0,125,5,7,0,2,0,45/H3,,toroab01
2022,288,Abraham Toro,25,SEA,AL,-0.7,109,352,324,36,60,13,1,10,35,2,0,22,65,0.185,0.239,0.324,0.563,63.0,0.25,59.0,105,4,2,0,4,1,45DH/39,,toroab01
2023,707,Abraham Toro,26,MIL,NL,0.3,9,21,18,4,8,0,0,2,9,0,0,2,5,0.444,0.524,0.778,1.302,250.0,0.546,259.0,14,0,1,0,0,0,/5H3D,,toroab01
2024,231,Abraham Toro,27,OAK,AL,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,240.0,293.0,350.0,643.0,87.0,285.0,85.0,118,4,5,2,0,1,54DH/37,,toroab01
2024,558,Adael Amador,21,COL,NL,-0.4,10,36,35,1,6,1,0,0,0,1,0,1,6,171.0,194.0,200.0,394.0,8.0,210.0,10.0,7,1,0,0,0,0,4,,amadoad01
2015,601,Adam Duvall,26,CIN,NL,0.1,27,72,64,6,14,2,0,5,9,0,0,6,26,0.219,0.306,0.484,0.79,112.0,0.338,108.0,31,0,2,0,0,1,7/H3,,duvalad01
2016,86,Adam Duvall,27,CIN,NL,3.3,150,608,552,85,133,31,6,33,103,6,5,41,164,0.241,0.297,0.498,0.795,106.0,0.342,106.0,275,7,6,0,8,1,*7/93H5,AS,duvalad01
2017,42,Adam Duvall,28,CIN,NL,2.0,157,647,587,78,146,37,3,31,99,5,3,39,170,0.249,0.301,0.48,0.782,99.0,0.336,99.0,282,11,10,0,11,1,*7/H3D,,duvalad01
2018,225,Adam Duvall,29,2TM,NL,0.8,138,427,384,48,75,20,0,15,61,2,2,37,117,0.195,0.274,0.365,0.639,70.0,0.289,69.0,140,9,5,0,1,3,7H3/95,,duvalad01
2019,509,Adam Duvall,30,ATL,NL,0.7,41,130,120,17,32,4,1,10,19,0,0,7,39,0.267,0.315,0.567,0.882,117.0,0.359,112.0,68,0,2,0,1,0,7H/9,,duvalad01
2021,112,Adam Duvall,32,2TM,NL,3.1,146,555,513,67,117,17,2,38,113,5,0,35,174,0.228,0.281,0.491,0.772,102.0,0.333,100.0,252,7,4,0,3,1,*978H,GG,duvalad01
