Year,Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
2024,1,Matt Olson,30,ATL,NL,162,162,162,1443.1,1370,1259,105,6,125,0.996,14.0,11.0,13,11.0,8.51,8.29,8.42,8.18,,,,,,,*3,,olsonma02
2024,2,Jarren Duran,27,BOS,AL,160,160,125,1421.1,374,356,12,6,2,0.984,2.0,2.0,23,19.0,2.33,2.27,2.3,2.24,,,,,,,*87,ASMVP-8,duranja01
2024,3,Anthony Volpe,23,NYY,AL,160,158,156,1416.2,570,210,344,16,68,0.972,4.0,4.0,6,5.0,3.52,3.7,3.46,3.65,,,,,,,*6/H,,volpean01
2024,4,Pete Alonso,29,NYM,NL,161,159,157,1412.1,1285,1179,99,7,117,0.995,-1.0,-1.0,-3,-3.0,8.14,8.29,7.94,8.18,,,,,,,*3/DH,AS,alonspe01
2024,5,Willy Adames,28,MIL,NL,161,161,151,1406.1,547,204,323,20,66,0.963,-8.0,-7.0,-16,-14.0,3.37,3.82,3.27,3.77,,,,,,,*6,MVP-10,adamewi01
2024,6,Bobby Witt Jr.,24,KCR,AL,160,160,149,1393.2,583,207,361,15,78,0.974,-1.0,-1.0,2,2.0,3.67,3.7,3.55,3.65,,,,,,,*6/D,ASMVP-2GGSS,wittbo02
2024,7,Elly De La Cruz,22,CIN,NL,160,159,155,1391.0,636,247,360,29,70,0.954,-1.0,0.0,-2,-2.0,3.93,3.82,3.79,3.77,,,,,,,*6/H,ASMVP-8,delacel01
2024,8,Jeremy Peña,26,HOU,AL,157,157,153,1388.0,620,221,380,19,86,0.969,6.0,5.0,4,3.0,3.9,3.7,3.83,3.65,,,,,,,*6,,penaje02
2024,9,Gunnar Henderson,23,BAL,AL,157,157,149,1384.0,635,232,378,25,71,0.961,1.0,1.0,5,4.0,3.97,3.7,3.89,3.65,,,,,,,*6/D,ASMVP-4,hendegu01
2024,10,Marcus Semien,33,TEX,AL,159,159,148,1382.2,610,214,389,7,77,0.989,14.0,12.0,10,9.0,3.93,3.97,3.79,3.91,,,,,,,*4,AS,semiema01
2024,11,Orlando Arcia,29,ATL,NL,157,156,150,1381.1,572,168,393,11,87,0.981,-3.0,-3.0,-1,-1.0,3.66,3.82,3.57,3.77,,,,,,,*6,,arciaor01
2024,12,Ezequiel Tovar,22,COL,NL,157,156,156,1375.2,676,233,435,8,113,0.988,17.0,15.0,10,9.0,4.37,3.82,4.25,3.77,,,,,,,*6,MVP-19GG,tovarez01
2024,13,Nick Castellanos,32,PHI,NL,157,157,143,1363.2,269,263,3,3,0,0.989,-3.0,-2.0,-11,-10.0,1.76,2.21,1.69,2.18,,,,,,,*9/D,,casteni01
2024,14,Eugenio Suárez,32,ARI,NL,155,154,146,1361.2,390,88,292,10,33,0.974,3.0,3.0,-4,-4.0,2.51,2.55,2.45,2.51,,,,,,,*5/D,,suareeu01
2024,15,Gleyber Torres,27,NYY,AL,153,152,144,1342.2,582,234,330,18,74,0.969,-9.0,-8.0,-11,-10.0,3.78,3.97,3.69,3.91,,,,,,,*4/H,,torregl01
2024,16,Matt Chapman,31,SFG,NL,154,153,147,1338.0,405,100,290,15,34,0.963,15.0,13.0,17,15.0,2.62,2.55,2.53,2.51,,,,,,,*5/H,MVP-11GG,chapmma01
2024,17,Willi Castro,27,MIN,AL,158,150,116,1334.1,433,247,178,8,24,0.982,-26.0,-23.0,-18,-16.0,2.87,3.15,2.31,3.05,,,,,,,64785/H1,AS,castrwi01
2024,18,Ceddanne Rafaela,23,BOS,AL,151,147,114,1333.1,489,297,180,12,41,0.975,-1.0,-1.0,10,9.0,3.22,3.02,2.61,2.97,,,,,,,864/5H9,,rafaece01
